SIC4,YEAR,TCA,TROWA,TW,TA,TROW,XA,MA,XW,MW,PSIC4,EXCHR,GDP,L,LN,LP,H,E,EN,EP,W,V,V1,V2,VP,VP1,VP2,Q,Q2,QP,K,PQ,PV,PVA,PSIC4A,LA,LNA,LPA,HA,EA,ENA,EPA,WA,KA,VA,VA1,QA,LABEL_S4
3751,1996,0.001263733,0.034391829,0.006145344,0.001602029,0.078488356,239346711,507475264.3,268387000.8,539345933.6,1.126333333,0.73,617510,6924,3120,3804,2.204037066,0.037527637,0.04519594,0.031238178,0.014173164,848.9227475,779.432328,779.9556082,747.3108045,686.1380518,686.5986978,1998.079475,1999.420906,1498.270533,294.3,1.127089509,1.034829144,1.11095,1.116744482,51100,23200,27900,2.075268817,0.033944607,0.042154598,0.02711766,0.013067059,,7648.769072,6257.468504,13527.337,PAINT AND VARNISH INDUSTRY
3761,1980,0.068114209,0.068845655,0.12508183,0.128821108,0.101438789,6666778.779,40662104.59,12431242.45,47093042.44,0.615767766,0.86,424182,7661,3906,3755,2.080075899,0.037663769,0.042701913,0.032423025,0.015587424,740.1776272,654.7921609,649.8371058,705.2103461,623.8586381,619.1376684,1623.349802,1611.065312,1416.847136,,0.611108023,0.540611778,0.645615629,0.705345955,60778.73804,22930.72689,37848.01115,1.959182224,0.031539025,0.038544409,0.027294719,0.01393169,4912.935387,10255.5187,8336.081999,15931.36749,SOAP AND CLEANING COMPOUNDS INDUSTRY
3761,1981,0.061108223,0.05890609,0.12508183,0.128821108,0.101438789,5906386.307,36916976.4,11013372.82,42755601.41,0.695042156,0.83,445833,,,,,,,,,,,,,,,,,,,0.689782515,0.635060167,0.709092186,0.77690141,61305.27854,22849.61025,38455.6683,1.980824465,0.031394862,0.037319547,0.027874529,0.014072186,5000.133369,9871.473378,8001.200043,16034.75265,SOAP AND CLEANING COMPOUNDS INDUSTRY
3761,1982,0.049733778,0.053371882,0.123872635,0.12584348,0.113064808,9182217.187,30821170.28,14814691.49,36441520.61,0.750968101,0.81,429289,,,,,,,,,,,,,,,,,,,0.745285247,0.680820909,0.72315835,0.819020653,59117.52463,22842.49092,36275.03371,1.99742585,0.031646991,0.037180557,0.028162489,0.014099391,5082.25551,10277.09994,8057.992165,15052.18655,SOAP AND CLEANING COMPOUNDS INDUSTRY
3761,1983,0.046171448,0.051694116,0.121942673,0.125123123,0.108578241,7377582.999,31020790.2,11882109.07,38403075.68,0.778242198,0.81,438209,8242,4195,4047,2.107855448,0.036938942,0.041311391,0.032406591,0.0153742,833.780332,772.880034,767.0313642,780.5203871,723.5102583,718.0351878,1726.45697,1713.39223,1513.643481,285.3,0.772352951,0.715939381,0.714887984,0.847358588,57553.66091,22276.5587,35277.10221,2.023485598,0.032093349,0.036148478,0.029532641,0.014594935,5179.631877,9938.796049,7447.246974,14552.70189,SOAP AND CLEANING COMPOUNDS INDUSTRY
3761,1984,0.042177588,0.043656141,0.115848089,0.11974842,0.101993857,7691818.6,31596113.52,12726268.01,40491252.54,0.810916667,0.77,452951,8323,4299,4024,2.079075547,0.036777921,0.040747469,0.032537094,0.015649789,936.7818536,831.2829188,824.9922927,885.9519862,786.1774331,780.2281369,1813.165972,1799.445072,1610.99896,323.4,0.80478016,0.714147053,0.748914111,0.85832835,55590.9441,21979.33171,33611.61239,2.088760714,0.033457876,0.038045375,0.030458015,0.014581859,5253.641086,9631.399971,7464.595512,15108.80576,SOAP AND CLEANING COMPOUNDS INDUSTRY
3761,1985,0.068721479,0.038941603,0.114120602,0.120620185,0.100031074,41602109.53,27468672.97,50505809.43,40140133.98,0.835333333,0.73,478812,8305,4246,4059,2.110914018,0.037888822,0.042455645,0.033111604,0.015685908,953.4452875,826.8131056,823.264166,860.4160905,746.1396152,742.9369513,1854.889137,1846.927374,1641.483108,351.9,0.831747822,0.721278933,0.762460298,0.878479679,55235.00182,21799.73517,33435.26665,2.022302497,0.033326566,0.037822531,0.030395204,0.015029999,5418.746674,9609.358902,7409.764163,14879.89776,SOAP AND CLEANING COMPOUNDS INDUSTRY
3761,1986,0.066081726,0.03531966,0.117649889,0.121145543,0.109861244,66567896.91,31435426.69,73783560.06,45544088.67,0.85925,0.72,499167,9050,4689,4361,2.111648704,0.037337031,0.041533444,0.032824996,0.015544724,966.0530239,908.98405,906.3718359,878.7261969,826.8160003,824.4399185,1999.928312,1994.180972,1758.326234,369.1,0.85678071,0.806166929,0.755521786,0.878375002,54272.46447,21074.38197,33198.0825,2.09303788,0.034785192,0.040112849,0.031403157,0.015003626,5508.341044,10275.79645,7847.456939,15525.03002,SOAP AND CLEANING COMPOUNDS INDUSTRY
3761,1987,0.047031482,0.032708716,0.125579523,0.131441462,0.108368789,39548683.08,43997498.72,50345929.05,58982951.1,0.882333333,0.75,524852,8625,4548.269785,4076.730215,2.242041911,0.037613586,0.043622062,0.034160662,0.015236407,885.2372391,890.525092,890.1397809,831.4737857,836.4404894,836.0785795,1876.747049,1875.935021,1689.321791,399.8,0.881951567,0.887219793,0.772840051,0.887927749,53032.6223,20040.5177,32992.10461,2.021442308,0.034382608,0.040749972,0.030514857,0.015095586,5669.073529,12395.6694,9579.869772,17273.20901,SOAP AND CLEANING COMPOUNDS INDUSTRY
3761,1988,0.051902017,0.038947974,0.110822836,0.114067004,0.102663879,55197750.51,62432191.89,75276094.43,87256511.82,0.92075,0.81,554466,8892,4771,4121,2.201286096,0.037995251,0.042340121,0.032965071,0.014975369,1013.067415,962.2388082,952.8102091,936.7380448,889.7391101,881.0209069,2000.048406,1980.45072,1780.575039,426.3,0.911727933,0.86598383,0.878933786,0.927476727,54520.4702,19644.34609,34876.12411,1.989280561,0.033381868,0.040931676,0.029129359,0.014643163,5871.810337,11596.77774,9758.583721,17532.23363,SOAP AND CLEANING COMPOUNDS INDUSTRY
